artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count,genres
"""Cats"" 1981 Original London Cast",0.575083333,0.44275,247260,0.386335833,0.022717397,0.287708333,-14.20541667,0.180675,115.9835,0.334433333,38,5,1,12,['show tunes']
"""Cats"" 1983 Broadway Cast",0.862538462,0.441730769,287280,0.406807692,0.081158264,0.315215385,-10.69,0.176211538,103.0441538,0.268865385,33.07692308,5,1,26,[]
"""Fiddler On The Roof” Motion Picture Chorus",0.856571429,0.348285714,328920,0.286571429,0.024592949,0.325785714,-15.23071429,0.118514286,77.37585714,0.354857143,34.28571429,0,1,7,[]
"""Fiddler On The Roof” Motion Picture Orchestra",0.884925926,0.425074074,262890.963,0.24577037,0.073587279,0.275481481,-15.63937037,0.1232,88.66762963,0.37202963,34.44444444,0,1,27,[]
"""Joseph And The Amazing Technicolor Dreamcoat"" 1991 London Cast",0.605444444,0.437333333,232428.1111,0.429333333,0.03753356,0.216111111,-11.44722222,0.086,120.3296667,0.458666667,42.55555556,11,1,9,[]
"""Joseph And The Amazing Technicolor Dreamcoat"" 1992 Canadian Cast",0.609555556,0.487277778,205091.9444,0.309905556,0.004695657,0.274766667,-18.26638889,0.098022222,118.6489444,0.441555556,34.16666667,5,1,36,[]
"""Mama"" Helen Teagarden",0.725,0.637,135533,0.512,0.186,0.426,-20.615,0.21,134.819,0.885,0,8,1,2,[]
"""Mista Dj Paul",0.0069,0.849,123040,0.487,0.464,0.146,-9.664,0.351,170.981,0.499,36,4,0,1,[]
"""Test for Victor Young""",0.927,0.734,175693,0.474,0.0762,0.737,-10.544,0.256,132.788,0.902,2,10,1,2,[]
"""Weird Al"" Yankovic",0.176934091,0.664787879,218165.2576,0.685136364,4.63E-05,0.162139394,-9.877909091,0.082392424,132.4950909,0.754409091,33.68181818,9,1,132,"['antiviral pop', 'comedy rock', 'comic', 'parody']"
$IMEON,0.2423,0.806666667,66307.33333,0.469,1.39E-06,0.204333333,-12.168,0.482666667,106.02,0.592,62.66666667,6,0,6,[]
$NOT,0.547,0.750125,152929.5,0.51975,0.043137138,0.213975,-8.8785,0.276725,114.229125,0.3195,64.625,6,1,8,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']"
$pyda,0.000122,0.514,331240,0.899,0.0793,0.367,-5.115,0.0602,174.028,0.266,58,7,1,1,[]
$uicideBoy$,0.128122623,0.765245902,147549.4426,0.641704918,0.038454471,0.201195082,-6.626918033,0.155917213,119.8043607,0.296095902,61.64754098,1,1,122,"['dark trap', 'new orleans rap', 'underground hip hop']"
'Be More Chill' Ensemble,0.764,0.497,164400,0.474,0.000223,0.453,-7.279,0.044,133.934,0.493,52,3,1,1,[]
'In The Heights' Original Broadway Company,0.636588235,0.541,301908.2941,0.402282353,7.75E-06,0.193823529,-9.405882353,0.150005882,114.9525294,0.407764706,46.58823529,7,1,17,"['broadway', 'show tunes']"
'Legally Blonde' Ensemble,0.601083333,0.613583333,291892.1667,0.4115,1.96E-05,0.215666667,-11.20033333,0.459583333,115.58,0.503166667,48.16666667,8,1,12,"['broadway', 'hollywood', 'show tunes']"
'Legally Blonde' Greek Chorus,0.6045,0.7735,361780,0.3095,0,0.2222,-12.669,0.289,105.7,0.5965,49,10,1,2,['show tunes']
'Little Women' Original Broadway Cast,0.902,0.345,275360,0.325,0.00214,0.0721,-7.955,0.0354,90.03,0.168,42,1,1,2,[]
'Til Tuesday,0.10555625,0.557125,255213.5,0.61225,0.023300253,0.1275875,-9.638125,0.03215,103.08025,0.532625,35.125,0,1,16,"['boston rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop']"
((( O ))),0.847,0.41,311837,0.169,0.00327,0.117,-11.422,0.0485,89.494,0.208,66,3,1,2,"['latin', 'puerto rican pop', 'reggaeton', 'trap latino']"
(Con La Participación De Eros Ramazzotti),0.282,0.722,287600,0.628,0,0.125,-5.713,0.0522,143.922,0.561,43,0,1,2,[]
(Con La Participación de Marc Anthony),0.538,0.731,361440,0.794,2.39E-05,0.0736,-4.182,0.0408,88.003,0.873,44,5,1,2,[]
(G)I-DLE,0.029966667,0.718,194278,0.764333333,9.40E-07,0.163333333,-3.797333333,0.0552,129.992,0.449666667,74.66666667,4,0,3,"['k-pop', 'k-pop girl group']"
(Hed) P.E.,0.0116314,0.5892,253677.4,0.8792,2.03E-06,0.17112,-5.2598,0.17214,134.9694,0.427,45.8,2,1,10,"['alternative metal', 'industrial metal', 'nu metal', 'post-grunge', 'rap metal', 'rap rock']"
*NSYNC,0.156757538,0.642051282,237077.5128,0.719320513,0.003624652,0.217423077,-6.030692308,0.067155128,114.6852179,0.615128205,45.79487179,0,1,78,"['boy band', 'dance pop', 'europop', 'pop']"
44,0.01281645,0.4515,205250,0.88325,2.40E-06,0.1507,-4.26175,0.079075,168.37125,0.39125,43.75,2,1,8,[]
-,0.466,0.446,316307,0.546,1.54E-05,0.193,-7.022,0.045,125.961,0.376,55,10,0,2,"['alternative pop rock', 'neon pop punk', 'pop emo', 'pop punk', 'texas pop punk']"
...And You Will Know Us by the Trail of Dead,0.00841,0.255,273624,0.858,0.000355,0.513,-5.085,0.0694,144.653,0.237,35,7,1,2,"['alternative rock', 'dance-punk', 'indie rock', 'lo-fi', 'modern rock', 'post-hardcore']"
...Bender,0.000155,0.542,226000,0.894,0.00104,0.116,-5.025,0.0537,119.128,0.336,42,1,1,2,[]
03 Greedo,0.06932,0.7246,220595.2,0.6938,8.00E-07,0.16506,-5.021,0.05074,93.9078,0.4434,59.2,1,0,5,"['cali rap', 'melodic rap', 'trap', 'underground hip hop', 'vapor trap']"
070 Shake,0.375133333,0.68,303688.6667,0.637,2.32E-06,0.124266667,-9.293666667,0.1089,112.6786667,0.345666667,63,4,0,3,"['alternative r&b', 'indie r&b', 'new jersey rap']"
10 Ft. Ganja Plant,0.10835,0.7875,256780,0.7725,0.8465,0.07735,-4.744,0.07285,142.973,0.834,48.5,2,0,4,"['dub', 'east coast reggae', 'reggae', 'reggae rock', 'roots reggae']"
10 Years,0.097123238,0.39925,208469.875,0.751625,0.000204069,0.1507375,-5.071875,0.0486125,147.9155,0.318875,47.75,6,1,16,"['alternative metal', 'christian rock', 'nu metal', 'post-grunge', 'rap rock']"
"10,000 Maniacs",0.192295,0.581454545,240081.7273,0.560390909,0.00882584,0.253490909,-12.97718182,0.041177273,118.9730909,0.571772727,36.77272727,9,1,44,"['dance rock', 'folk', 'lilith', 'new wave pop', 'pop rock']"
100 gecs,0.2515,0.6695,120538,0.566,0,0.377,-7.246,0.138,91.691,0.769,63.5,6,1,2,"['art pop', 'escape room', 'hyperpop']"
101 Strings Orchestra,0.608833333,0.254866667,178029.8333,0.373333333,0.783833333,0.172666667,-13.42783333,0.039833333,96.92416667,0.352533333,26.16666667,9,1,12,"['adult standards', 'ballroom', 'easy listening', 'lounge']"
1017 Eskimo,0.293,0.896,193776,0.615,0,0.122,-9.326,0.326,140.04,0.89,62,6,0,2,[]
10cc,0.262604762,0.550952381,293338.5238,0.547047619,0.005951062,0.14787619,-10.77980952,0.061561905,118.9217143,0.534571429,41.19047619,9,1,42,"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock', 'yacht rock']"
5-Nov,0.27,0.929,182373,0.661,1.52E-06,0.0879,-6.794,0.171,114.973,0.708,37,1,0,2,"['dirty texas rap', 'g funk', 'hyphy', 'west coast trap']"
112,0.158393818,0.666072727,274580.8545,0.520436364,0.000143672,0.143212727,-8.024036364,0.097623636,116.8437636,0.5328,48.32727273,0,1,55,"['atl hip hop', 'boy band', 'dance pop', 'gangster rap', 'hip pop', 'new jack swing', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']"
11:11,0.174,0.478,252540,0.555,1.10E-05,0.103,-7.6,0.111,128.728,0.139,57,5,0,2,"['atl hip hop', 'boy band', 'dance pop', 'gangster rap', 'hip pop', 'new jack swing', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']"
12 Pianists,0.991,0.414,137733,0.0187,0.892,0.0513,-39.385,0.0557,74.477,0.195,52,7,1,2,[]
12 Stones,0.0802665,0.385833333,204280.1667,0.888833333,2.73E-06,0.249233333,-3.887,0.0693,138.6921667,0.450666667,50.33333333,5,1,12,"['alternative metal', 'christian alternative rock', 'christian hard rock', 'christian rock', 'nu metal', 'post-grunge', 'rap rock']"
1422,0.67,0.466333333,42615,0.874666667,0.11756823,0.391,-4.884,0.216633333,98.25366667,0.658333333,36,7,0,6,[]
1776 Ensemble,0.8915,0.5895,193206.5,0.4025,0,0.4725,-11.3485,0.172,97.4035,0.594,22.5,8,1,2,[]
1776 Orchestra,0.08,0.739,113493,0.518,0.865,0.0917,-15.621,0.0979,120.939,0.222,19,11,1,1,[]
1788-L,0.0739,0.522,172344,0.539,0,0.0664,-5.741,0.0418,95.97,0.139,46,1,0,1,"['brostep', 'edm', 'electro house', 'zapstep']"
18 Carat Affair,0.0318,0.599,98038,0.852,0.747,0.119,-7.575,0.0629,99.12,0.87,48,7,1,2,"['chillwave', 'future funk', 'hardvapour', 'vaporwave']"
1910 Fruitgum Company,0.4185,0.757,140750,0.60525,0.00077785,0.12425,-9.72575,0.044725,128.4975,0.8995,24.75,9,1,8,"['brill building pop', 'bubblegum pop', 'classic garage rock', 'folk rock', 'merseybeat']"
1986 Omega Tribe,0.378016667,0.687,266824.3333,0.620833333,0.00429942,0.155566667,-13.05716667,0.032433333,123.0371667,0.805833333,37.33333333,11,0,12,"['future funk', 'japanese city pop']"
1way Frank,0.735,0.783,170867,0.38,1.58E-06,0.158,-8.507,0.0974,99.802,0.84,56,10,0,2,['florida rap']
2 Brothers On The 4th Floor,0.00328,0.701,263163,0.979,0.308,0.416,-4.861,0.048,134.013,0.612,62,7,0,2,"['bubblegum dance', 'eurodance', 'europop', 'happy hardcore', 'hip house']"
2 Chainz,0.11121449,0.771091837,253278.4082,0.642418367,0.000620847,0.203555102,-6.024755102,0.220565306,125.026398,0.450257143,57.94897959,1,1,98,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
2 Crows,0.00147,0.588,183554,0.788,2.09E-05,0.378,-5.582,0.0341,96.007,0.382,0,7,1,2,[]
2 Guys n the Parque,0.0717,0.814,93600,0.879,0,0.0401,-5.416,0.12,120.113,0.962,48,11,0,2,[]
2 Hyped Brothers & A Dog,0.0782,0.906,338533,0.382,3.21E-05,0.113,-13.632,0.282,126.073,0.63,27,9,0,2,[]
2 In A Room,0.0718,0.781,244133,0.838,5.42E-06,0.0381,-13.943,0.0494,122.819,0.849,29,2,1,2,"['hip house', 'latin house', 'vogue']"
2 LIVE CREW,0.055277857,0.884095238,229711.7143,0.651857143,0.008597385,0.404295238,-11.54366667,0.200828571,126.1386667,0.621857143,36.23809524,7,1,42,"['electro', 'gangster rap', 'hip hop', 'hip house', 'miami bass', 'miami hip hop', 'old school hip hop', 'rap']"
2 Pistols,0.00431,0.517,274053,0.747,0,0.345,-6.191,0.105,134.058,0.271,52,10,0,1,"['dirty south rap', 'pop rap', 'southern hip hop', 'trap']"
2 Unlimited,0.027919167,0.721666667,247916,0.924166667,0.1390149,0.103033333,-11.45816667,0.05975,129.4381667,0.716333333,49,6,1,12,"['bubblegum dance', 'eurodance', 'europop', 'hip house']"
2* Sweet,0.0348,0.788,1428097,0.687,2.03E-05,0.148,-13.304,0.152,102.345,0.897,45,1,1,2,[]
20 Fingers,0.0009065,0.8515,253013,0.82,0.33845,0.11065,-8.8545,0.0541,127.001,0.7765,50,0,1,2,"['eurodance', 'hip house']"
20/20,0.000236,0.458,257733,0.541,0.00183,0.0371,-12.131,0.0485,133.573,0.577,24,2,1,2,"['atl hip hop', 'dirty south rap', 'southern hip hop', 'trap']"
2002,0.905,0.229,267840.3333,0.155,0.852333333,0.105266667,-19.01433333,0.035533333,114.312,0.063333333,47.33333333,7,1,6,"['healing', 'new age']"
2014 ATHINAIKI DISCOGRAFIKI,0.995,0.501,189453,0.341,0.0117,0.418,-11.514,0.0814,109.956,0.621,0,2,1,2,[]
20th Century Fox Studio Orchestra,0.831,0.346666667,101480.3333,0.326,0.810333333,0.336766667,-13.196,0.036933333,100.0243333,0.632666667,0,5,1,6,[]
21 Savage,0.123776734,0.791886076,225374.557,0.551607595,0.015091409,0.178807595,-7.411455696,0.284291139,124.419519,0.332216456,66.20253165,1,1,79,"['atl hip hop', 'rap', 'trap']"
"22, Little Red, Tangle Eye & Hard Hair",0.948,0.789,278082,0.352,0.000778,0.0867,-9.337,0.66,139.616,0.659,16,8,1,1,[]
22Gz,0.281,0.83,190746,0.574,0,0.124,-6.892,0.701,143.892,0.538,70,11,1,2,['nyc rap']
24 Horas,0.206,0.814,230267,0.68,0,0.101,-6.928,0.043,126.976,0.963,46,7,0,2,"['bachata', 'latin', 'tropical']"
24hrs,0.0598,0.5405,197806.5,0.74,0,0.12435,-5.4345,0.18005,117.9925,0.34,67.5,1,1,4,"['trap', 'trap soul', 'underground hip hop', 'vapor trap']"
24kGoldn,0.118269412,0.731588235,163177.4118,0.681235294,1.63E-06,0.16,-5.403823529,0.123764706,131.3191176,0.566823529,69.47058824,0,0,17,"['cali rap', 'pop rap']"
27CLUB,0.428,0.514,155893,0.712,8.77E-06,0.112,-7.281,0.334,76.393,0.487,70,2,1,2,['emo rap']
2Baba,0.0158,0.591,283000,0.602,0,0.278,-7.483,0.386,147.957,0.355,0,1,1,2,"['afro dancehall', 'afropop', 'nigerian hip hop', 'nigerian pop']"
2CELLOS,0.603,0.5865,253046.5,0.499,0.42984,0.149,-8.705,0.04035,122.251,0.6005,58.5,2,1,4,"['bow pop', 'cello', 'classify']"
2KBABY,0.411333333,0.721,118400,0.466666667,0,0.151333333,-10.86733333,0.477666667,137.7933333,0.584666667,67.33333333,2,1,6,[]
2NE1,0.00767,0.819,208731,0.844,0.00834,0.056,-3.739,0.038,127.997,0.687,64,0,1,2,"['dance pop', 'k-pop', 'k-pop girl group']"
2Pac,0.131851509,0.77690785,262092.3208,0.708177474,0.007405552,0.224146758,-7.00652901,0.223463481,107.1581638,0.610143345,49.08532423,1,1,293,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
2Pac a.k.a. Makaveli,0.0938,0.893,293840,0.576,0,0.0758,-7.514,0.357,94.307,0.861,42,1,1,1,[]
2forwOyNE,0.0474,0.923,187267,0.533,4.12E-06,0.0925,-5.627,0.0883,97.958,0.689,62,5,0,2,[]
2nd Chapter Of Acts,0.6055,0.433,169067,0.3765,0,0.1148,-11.4885,0.0277,89.173,0.442,28.5,1,1,4,"['christian music', 'deep christian rock']"
2nd Generation Outlawz,0.0013,0.516,247060,0.452,2.69E-06,0.128,-8.204,0.0322,130.069,0.0412,0,1,1,1,[]
2nd II None,0.038204444,0.912222222,225997.1111,0.536111111,1.12E-06,0.255111111,-12.02122222,0.188377778,103.6753333,0.800444444,35.33333333,6,0,9,"['gangster rap', 'west coast rap']"
2nd South Carolina String Band,0.5895,0.5515,345866.5,0.639,8.15E-07,0.2195,-7.9145,0.04625,103.9895,0.6225,39.5,2,1,4,"['string band', 'traditional country']"
3 Doors Down,0.038478175,0.503,232900.1091,0.792672727,0.006129951,0.157850909,-5.679090909,0.037990909,128.8442,0.445181818,49.72727273,7,1,55,"['alternative metal', 'nu metal', 'pop rock', 'post-grunge']"
3 Inches Of Blood,6.40E-05,0.367,271160,0.961,0.00119,0.11,-3.186,0.0807,97,0.237,46,9,0,2,"['canadian metal', 'power metal', 'speed metal', 'vancouver metal', 'vancouver punk']"
3 in One,0.479,0.599,202857,0.471,0,0.133,-8.552,0.0945,121.11,0.547,0,6,1,2,[]
2-Mar,0.155,0.792,239733,0.602,0,0.088,-8.893,0.317,92.017,0.747,32,1,1,2,[]
30 Roc,0.0932,0.616,175252,0.537,0.000157,0.107,-7.719,0.139,122.65,0.465,68,8,0,2,[]
311,0.022413531,0.618868852,205666,0.820065574,0.012122383,0.16602459,-7.354754098,0.06582459,132.5737541,0.616206557,40.32786885,9,1,122,"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'nu metal', 'pop rock', 'post-grunge', 'rap rock', 'reggae fusion', 'rock']"
35MM: A Musical Exhibition Original Cast,0.113,0.772,289587,0.615,0,0.0581,-7.983,0.0633,119.962,0.704,49,8,0,2,[]
36 Crazyfists,0.00119,0.585,198600,0.931,2.46E-05,0.115,-4.843,0.0847,160.079,0.814,52,0,1,2,"['alternative metal', 'melodic metalcore', 'metalcore', 'nu metal', 'rap rock']"
38 Special,0.032874771,0.525155556,256027.8,0.6304,0.025745799,0.125117778,-11.42997778,0.032602222,125.2705556,0.773266667,32.28888889,0,1,90,"['album rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'southern rock']"
3BallMTY,0.213,0.792,193533,0.916,3.11E-05,0.061,-5.01,0.0685,131.895,0.966,57,9,1,1,"['mexican indie', 'trival']"
3LAU,0.1013,0.5335,201705,0.7705,3.46E-05,0.227,-4.26,0.0566,115.002,0.268,58,3,1,2,"['big room', 'edm', 'electro house', 'electronic trap', 'electropop', 'mashup', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']"
3LW,0.0558,0.7178,272055.8,0.7196,2.17E-05,0.15058,-5.9238,0.11084,129.6848,0.6678,49.2,6,0,5,"['girl group', 'hip pop', 'r&b', 'urban contemporary']"
3OH!3,0.020766,0.68375,193600.85,0.7932,4.45E-05,0.31715,-3.92975,0.17853,125.77265,0.54965,53.7,5,1,20,"['dance pop', 'electropowerpop', 'pop', 'pop punk', 'pop rap', 'post-teen pop']"
3T,0.349666667,0.669666667,320777.6667,0.435666667,0.000150967,0.330666667,-11.056,0.0342,113.091,0.479333333,45.33333333,10,0,3,"['electro-industrial', 'industrial', 'industrial metal', 'industrial rock']"
3X Krazy,0.0165,0.719,358467,0.686,0,0.236,-4.169,0.0829,95.19,0.49,47,10,0,2,"['g funk', 'hyphy', 'west coast rap', 'west coast trap']"
3rd Bass,0.099428,0.7996,272712.6,0.6826,8.38E-05,0.14054,-13.5126,0.2478,124.1922,0.5268,30,2,1,10,"['east coast hip hop', 'electro', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip house', 'rap']"
3rd Strike,0.0075,0.444,249827,0.859,4.32E-05,0.24,-4.962,0.0484,99.655,0.394,38,2,1,2,"['nu metal', 'rap rock']"
3年E組うた担(渚&茅野&業&磯貝&前原),0.0389,0.591,248800,0.945,0,0.214,-2.483,0.0675,180.048,0.96,60,0,1,2,[]
4 Non Blondes,0.18415,0.528666667,239673.3333,0.57,5.10E-07,0.126633333,-10.1005,0.03825,117.8765,0.446166667,48,7,1,12,"['new wave pop', 'pop rock']"
4 P.M.,0.749,0.363,162093,0.388,0,0.363,-8.608,0.034,76.099,0.348,37,11,0,2,"['anime rock', 'vocaloid']"
4 Skins,0.0104,0.2655,158007,0.9295,2.61E-06,0.6155,-4.733,0.125,154.4345,0.4985,35.5,11,0,4,"['oi', 'punk', 'ska']"
4 Strings,0.00213,0.617,190427,0.79,0.0455,0.159,-6.983,0.0365,138.004,0.267,56,3,0,2,"['bubble trance', 'dutch trance', 'progressive house', 'trance', 'uplifting trance', 'vocal trance']"
40 Thevz,0.0102,0.76,311040,0.585,0.000476,0.308,-7.307,0.161,91.179,0.455,52,3,1,2,[]
42 Dugg,0.2332,0.8776,175701,0.565,0,0.09664,-5.2062,0.316,127.2876,0.4086,71,10,0,5,"['detroit trap', 'southern hip hop', 'trap']"
420 Unlovable,0.347,0.954,166635,0.58,1.87E-06,0.134,-8.924,0.367,128.003,0.48,60,7,1,1,['meme rap']
42nd Street Ensemble,0.824,0.343,349338,0.434,0.00236303,0.170566667,-13.26066667,0.221166667,111.1923333,0.31,17.33333333,0,1,6,['broadway']
433,0.00607,0.661,165000,0.942,0.44,0.0778,-3.75,0.282,127.947,0.203,64,10,0,2,[]
45 Grave,0.021413,0.438333333,177489,0.763666667,0.23566928,0.1207,-8.350666667,0.075733333,149.7286667,0.557666667,27.66666667,10,0,6,"['dark wave', 'deathrock', 'gothic rock', 'horror punk']"
4B,0.00441,0.63,224052,0.851,0.0218,0.0939,-4.61,0.319,150.054,0.573,54,1,1,1,"['brostep', 'electro house', 'electronic trap']"
4Him,0.282333333,0.476333333,290636.3333,0.487333333,0.001573783,0.111333333,-10.05633333,0.030133333,111.2396667,0.311666667,32.66666667,4,1,6,"['christian alternative rock', 'christian music', 'deep christian rock', 'worship']"
4Minute,0.00589,0.54,192400,0.929,4.01E-06,0.424,-2.646,0.278,176.023,0.624,61,7,1,2,"['k-pop', 'k-pop girl group']"
5 Seconds of Summer,0.059827234,0.546755319,197841.2447,0.807755319,1.11E-05,0.177270213,-4.401457447,0.083253191,137.1530957,0.531,61.92553191,2,1,94,"['boy band', 'dance pop', 'pop', 'post-teen pop']"
50 Cent,0.127395868,0.69248503,233712.4551,0.761335329,0.00058395,0.191894012,-4.100712575,0.264173054,105.6604491,0.588700599,52.19760479,1,1,167,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']"
504 Boyz,0.011873333,0.823666667,213458.3333,0.652333333,0,0.274666667,-7.742333333,0.265333333,140.0356667,0.459666667,43.66666667,7,1,6,"['dirty south rap', 'pop rap', 'southern hip hop']"
520Hz,0.996,0,197680,0.0197,0.996,0.104,-47.19,0,0,0,56,1,1,2,['white noise']
54-40,0.291,0.669,166827,0.645,9.40E-06,0.132,-11.036,0.0305,119.179,0.929,45,0,1,2,"['canadian indie', 'canadian rock']"
5th Ward Boyz,0.158,0.842,352173,0.336,0,0.256,-8.227,0.379,78.001,0.599,36,4,0,1,"['dirty south rap', 'dirty texas rap', 'gangster rap']"
6 Dogs,0.224,0.748,171907,0.66,0.053,0.101,-4.704,0.0487,137.033,0.328,68,6,1,2,"['dark trap', 'emo rap', 'melodic rap', 'underground hip hop', 'vapor trap']"
645AR,0.038,0.864,91200,0.613,0,0.123,-6.505,0.781,150.067,0.169,68,2,1,2,['meme rap']
69 Boyz,0.045092,0.8576,261191.8,0.715,0.00346,0.16568,-11.0492,0.18954,132.8056,0.6628,39.6,9,0,10,['miami bass']
6LACK,0.321816471,0.636372549,216116.8235,0.509215686,0.002125964,0.119180392,-8.324352941,0.168223529,118.1979804,0.310494118,65.11764706,0,1,51,"['alternative r&b', 'atl hip hop', 'hip hop', 'melodic rap', 'pop', 'pop rap', 'rap', 'trap']"
6cyclemind,0.443,0.7175,295993,0.4735,0.00158574,0.131,-8.5365,0.03095,97.2875,0.47,57.5,3,1,4,"['classic opm', 'opm', 'pinoy rock']"
6ix9ine,0.100766667,0.736933333,159113.5333,0.675066667,3.24E-05,0.147386667,-5.502733333,0.234303333,129.4227,0.454633333,69.86666667,1,1,30,['emo rap']
7 Aurelius,0.128,0.768,214560,0.725,0,0.122,-6.543,0.292,98.963,0.794,51,11,1,2,[]
7 Seconds,1.18E-05,0.451,189200,0.908,0.00888,0.155,-11.616,0.0627,103.893,0.398,30,1,0,2,"['hardcore', 'hardcore punk', 'melodic hardcore', 'punk', 'skate punk', 'straight edge', 'thrash core']"
7 Year Bitch,9.03E-06,0.349,167333,0.709,0.0095,0.147,-12.339,0.0336,114.581,0.708,40,9,0,2,"['grunge', 'riot grrrl']"
702,0.197222222,0.74,255970.2222,0.611222222,0.004324127,0.164422222,-8.152,0.065811111,99.07011111,0.59,51.88888889,10,1,9,"['girl group', 'hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']"
707,0.0645,0.671,285533,0.707,0.0163,0.057,-11.549,0.0336,125.829,0.599,26,9,0,2,[]
7eventh Time Down,0.00964,0.58,176616,0.884,1.50E-06,0.116,-4.358,0.0381,105.927,0.464,54,6,1,2,"['ccm', 'christian alternative rock', 'christian hard rock', 'christian music', 'christian rock']"
808 State,0.007925,0.55,287607,0.753,0.5615,0.09715,-12.2185,0.0538,128.4685,0.517,45.5,8,1,4,"['acid house', 'big beat', 'chicago house', 'electro', 'hardcore techno', 'hip house', 'intelligent dance music', 'madchester', 'rave', 'techno']"
88-Keys,0.13795,0.649,195875.5,0.6435,5.35E-07,0.421,-5.637,0.28,122.3495,0.5,54.5,1,1,2,['alternative hip hop']
88GLAM,0.0166,0.764,180813,0.672,1.06E-06,0.103,-4.274,0.0655,150.021,0.594,74,6,0,2,"['canadian hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'toronto rap', 'trap', 'trap soul', 'underground hip hop', 'vapor trap']"
88rising,0.389328571,0.6,200515.5714,0.530142857,0.000212601,0.175414286,-8.089,0.101042857,119.2835714,0.388857143,67.14285714,7,1,7,"['asian american hip hop', 'pop']"
8Ball,0.068907143,0.7885,280319.1429,0.661928571,0.000557282,0.234214286,-6.577428571,0.191535714,119.9201429,0.538857143,41.57142857,1,1,14,"['crunk', 'deep southern trap', 'dirty south rap', 'gangster rap', 'memphis hip hop', 'rap', 'southern hip hop', 'trap']"
8Ball & MJG,0.046216,0.7446,304293.2667,0.696666667,0,0.244573333,-6.984466667,0.228893333,132.3586667,0.577,39.93333333,11,1,15,"['dirty south rap', 'gangster rap', 'memphis hip hop', 'rap', 'southern hip hop', 'trap']"
9 Days Wonder,0.073275442,0.452583333,299851.0833,0.631083333,0.155886675,0.182108333,-11.54841667,0.041733333,119.3881667,0.502166667,0,9,1,24,[]
904TEZZO,0.463,0.697,96016,0.48,0.0085,0.378,-9.856,0.0493,119.951,0.176,62,10,0,2,[]
90sFlav,0.952,0.748,126250,0.265,0.917,0.0866,-12.074,0.229,77.009,0.14,70,8,0,2,[]
93FEETOFSMOKE,0.139,0.816,148140,0.577,0,0.0827,-5.998,0.41,171.028,0.459,68,1,1,1,"['dark trap', 'emo rap', 'underground hip hop']"
94 East,0.179,0.744,340440,0.797,0.0103,0.139,-8.867,0.0377,94.801,0.954,31,11,0,2,['minneapolis sound']
98º,0.332033333,0.622722222,250988.1111,0.585444444,3.94E-07,0.116638889,-8.166611111,0.042561111,103.3227778,0.431166667,49.83333333,10,1,18,"['boy band', 'dance pop']"
99 Neighbors,0.545,0.817,231602,0.487,0,0.336,-6.585,0.474,70.949,0.65,61,0,1,1,[]
99 Percent,0.0729,0.786,157165,0.854,1.63E-06,0.179,-4.247,0.0523,105.078,0.687,60,2,1,2,[]
999,0.030186667,0.596,217075.3333,0.631,0.282667583,0.1723,-9.655333333,0.0489,132.0906667,0.514666667,33.33333333,2,1,6,"['oi', 'pub rock', 'punk']"
9lokknine,0.033133333,0.864333333,181220,0.544,0,0.1746,-8.401333333,0.272666667,90.15666667,0.521,71.33333333,0,0,6,"['florida rap', 'vapor trap']"
9tails,0.404,0.711,217182,0.545,0,0.122,-6.81,0.0322,108.02,0.345,67,11,1,2,['emo rap']
9th Wonder,0.232,0.685,259060,0.518,0.00075566,0.13955,-8.679,0.228,90.4195,0.5295,49.5,7,1,4,"['alternative hip hop', 'hip hop', 'nc hip hop']"
? & The Mysterians,0.212633636,0.630545455,145557.6364,0.692636364,0.207659863,0.149781818,-8.167636364,0.0419,115.7935455,0.806181818,24.18181818,2,1,22,"['bubblegum pop', 'chicano punk', 'classic garage rock', 'freakbeat', 'protopunk', 'psychedelic rock']"
?uestlove,0.198,0.885,307120,0.598,0,0.384,-6.663,0.372,95.402,0.779,41,6,1,2,['philly rap']
A,0.000819,0.259,223267,0.899,0,0.512,-5.948,0.0793,176.686,0.379,48,2,1,2,"['dance pop', 'pop', 'post-teen pop']"
